"subLevelTree","DUI","treeNumber","topTree","Name"
"A01","D012535","A01.456.810","A","A - Body Regions"
"A01","D000005","A01.923.047","A","A - Body Regions"
"A01","D012445","A01.923.176.780","A","A - Body Regions"
"A01","D010388","A01.923.600","A","A - Body Regions"
"A01","D010502","A01.719","A","A - Body Regions"
"A01","D010529","A01.923.047.025.600.678","A","A - Body Regions"
"A01","D034941","A01.378.800","A","A - Body Regions"
"A01","D009055","A01.456.505.631","A","A - Body Regions"
"A01","D013909","A01.923.761","A","A - Body Regions"
"A01","D001415","A01.923.176","A","A - Body Regions"
"A01","D060726","A01.923","A","A - Body Regions"
"A01","D035262","A01.456.830.150","A","A - Body Regions"
"A01","D035301","A01.456.830.165","A","A - Body Regions"
"A01","D014781","A01.960","A","A - Body Regions"
"A01","D006257","A01.456","A","A - Body Regions"
"A01","D001365","A01.378.800.090","A","A - Body Regions"
"A01","D061028","A01.947","A","A - Body Regions"
"A01","D004423","A01.456.313","A","A - Body Regions"
"A01","D005546","A01.456.505.580","A","A - Body Regions"
"A01","D000069259","A01.456.505.875","A","A - Body Regions"
"A01","D064591","A01.941.500","A","A - Body Regions"
"A01","D005145","A01.456.505","A","A - Body Regions"
"A01","D035002","A01.378.610","A","A - Body Regions"
"A01","D003388","A01.456.830.200","A","A - Body Regions"
"A01","D009852","A01.923.047.025.600.573","A","A - Body Regions"
"A01","D002610","A01.456.505.173","A","A - Body Regions"
"A01","D019291","A01.456.830","A","A - Body Regions"
"A01","D034861","A01.923.047.050","A","A - Body Regions"
"A01","D042361","A01.236.249","A","A - Body Regions"
"A01","D064593","A01.941.875","A","A - Body Regions"
"A01","D019737","A01.941","A","A - Body Regions"
"A01","D005385","A01.378.800.667.430","A","A - Body Regions"
"A01","D005121","A01.378","A","A - Body Regions"
"A01","D012782","A01.378.800.750","A","A - Body Regions"
"A01","D004312","A01.923.047.025.600.225","A","A - Body Regions"
"A01","D002680","A01.456.505.259","A","A - Body Regions"
"A01","D005138","A01.456.505.420.338","A","A - Body Regions"
"A01","D064592","A01.941.750","A","A - Body Regions"
"A01","D008684","A01.378.610.250.300.480","A","A - Body Regions"
"A01","D059925","A01.111","A","A - Body Regions"
"A01","D005123","A01.456.505.420","A","A - Body Regions"
"A01","D005143","A01.456.505.420.504","A","A - Body Regions"
"A01","D008046","A01.456.505.631.515","A","A - Body Regions"
"A01","D014472","A01.923.047.849","A","A - Body Regions"
"A01","D057892","A01.923.600.500","A","A - Body Regions"
"A01","D001829","A01","A","A - Body Regions"
"A01","D005140","A01.456.505.420.504.421","A","A - Body Regions"
"A01","D000069259","A01.598.500","A","A - Body Regions"
"A01","D034841","A01.923.047.025","A","A - Body Regions"
"A01","D010537","A01.923.047.025.600","A","A - Body Regions"
"A01","D014953","A01.378.800.667.715","A","A - Body Regions"
"A01","D007264","A01.923.047.412","A","A - Body Regions"
"A01","D008482","A01.923.761.800.500","A","A - Body Regions"
"A01","D013848","A01.378.610.750","A","A - Body Regions"
"A01","D001132","A01.378.800.075","A","A - Body Regions"
"A01","D005542","A01.378.800.585","A","A - Body Regions"
"A01","D058958","A01.635","A","A - Body Regions"
"A01","D064595","A01.941.843","A","A - Body Regions"
"A01","D060053","A01.935","A","A - Body Regions"
"A01","D002081","A01.378.610.100","A","A - Body Regions"
"A01","D035423","A01.923.761.800","A","A - Body Regions"
"A01","D001940","A01.236","A","A - Body Regions"
"A01","D064596","A01.941.937","A","A - Body Regions"
"A01","D060052","A01.456.505.682","A","A - Body Regions"
"A01","D064594","A01.941.812","A","A - Body Regions"
"A01","D005545","A01.378.610.250.300","A","A - Body Regions"
"A01","D004550","A01.378.800.420","A","A - Body Regions"
"A01","D006615","A01.378.610.400","A","A - Body Regions"
"A01","D035422","A01.923.761.800.650","A","A - Body Regions"
"A01","D006365","A01.378.610.250.510","A","A - Body Regions"
"A01","D006214","A01.378.610.250.300.792.380","A","A - Body Regions"
"A01","D008663","A01.378.800.667.572","A","A - Body Regions"
"A01","D009333","A01.598","A","A - Body Regions"
"A01","D035441","A01.923.761.850","A","A - Body Regions"
"A01","D054048","A01.923.047.025.600.700","A","A - Body Regions"
"A01","D012187","A01.923.047.025.750","A","A - Body Regions"
"A01","D005528","A01.378.610.250","A","A - Body Regions"
"A01","D014034","A01.378.610.250.300.792","A","A - Body Regions"
"A01","D006225","A01.378.800.667","A","A - Body Regions"
"A01","D007866","A01.378.610.500","A","A - Body Regions"
"A01","D008643","A01.923.047.025.600.451","A","A - Body Regions"
"A01","D007717","A01.378.610.450","A","A - Body Regions"
"A01","D035421","A01.456.505.750","A","A - Body Regions"
"A01","D008646","A01.923.047.025.600.451.535","A","A - Body Regions"
"A01","D013933","A01.378.800.667.430.705","A","A - Body Regions"
"A01","D000672","A01.378.100","A","A - Body Regions"
"A01","D006119","A01.923.047.365","A","A - Body Regions"
